,Team,Player,Pageviews
373,Tottenham Hotspur,Guglielmo Vicario,306941.0
374,Tottenham Hotspur,Sergio Reguilón,362128.0
375,Tottenham Hotspur,Kevin Danso ,142044.0
376,Tottenham Hotspur,Radu Drăgușin,579575.0
377,Tottenham Hotspur,Son Heung-min ,1724521.0
378,Tottenham Hotspur,Yves Bissouma,231337.0
379,Tottenham Hotspur,Richarlison,549346.0
380,Tottenham Hotspur,James Maddison ,599709.0
381,Tottenham Hotspur,Mathys Tel ,197443.0
382,Tottenham Hotspur,Destiny Udogie,295760.0
383,Tottenham Hotspur,Archie Gray,697929.0
384,Tottenham Hotspur,Lucas Bergvall,445694.0
385,Tottenham Hotspur,Timo Werner ,1009750.0
386,Tottenham Hotspur,Cristian Romero ,300901.0
387,Tottenham Hotspur,Dominic Solanke,1328791.0
388,Tottenham Hotspur,Fraser Forster,343218.0
389,Tottenham Hotspur,Dejan Kulusevski,396137.0
390,Tottenham Hotspur,Brennan Johnson,526715.0
391,Tottenham Hotspur,Pedro Porro,484185.0
392,Tottenham Hotspur,Djed Spence,285489.0
393,Tottenham Hotspur,Wilson Odobert,220367.0
394,Tottenham Hotspur,Pape Matar Sarr,203758.0
395,Tottenham Hotspur,Rodrigo Bentancur,272468.0
396,Tottenham Hotspur,Antonín Kinský,2891.0
397,Tottenham Hotspur,Ben Davies,195630.0
398,Tottenham Hotspur,Micky van de Ven,484808.0
399,Tottenham Hotspur,Brandon Austin,77626.0
400,Tottenham Hotspur,Alfie Whiteman,59642.0
401,Tottenham Hotspur,Dane Scarlett,130570.0
402,West Ham United,Łukasz Fabiański,216853.0
403,West Ham United,Aaron Cresswell ,96618.0
404,West Ham United,Carlos Soler ,186293.0
405,West Ham United,Vladimír Coufal,82176.0
406,West Ham United,Crysencio Summerville,421582.0
407,West Ham United,James Ward-Prowse,393980.0
408,West Ham United,Michail Antonio,515782.0
409,West Ham United,Lucas Paquetá,459716.0
410,West Ham United,Niclas Füllkrug,847478.0
411,West Ham United,Mohammed Kudus,421497.0
412,West Ham United,Konstantinos Mavropanos,115317.0
413,West Ham United,Luis Guilherme,121535.0
414,West Ham United,Danny Ings,266765.0
415,West Ham United,Edson Álvarez,235129.0
416,West Ham United,Jarrod Bowen ,725220.0
417,West Ham United,Wes Foderingham,128195.0
418,West Ham United,Alphonse Areola,307986.0
419,West Ham United,Guido Rodríguez,232289.0
420,West Ham United,Jean-Clair Todibo ,261491.0
421,West Ham United,Maximilian Kilman,33800.0
422,West Ham United,Tomáš Souček,146770.0
423,West Ham United,Aaron Wan-Bissaka,480558.0
424,West Ham United,Emerson Palmieri,168722.0
425,West Ham United,Evan Ferguson ,310639.0
426,West Ham United,Andy Irving,146149.0
427,Wolverhampton Wanderers,José Sá,131316.0
428,Wolverhampton Wanderers,Matt Doherty ,152304.0
429,Wolverhampton Wanderers,Rayan Aït-Nouri,207693.0
430,Wolverhampton Wanderers,Santiago Bueno,55297.0
431,Wolverhampton Wanderers,Marshall Munetsi,14362.0
432,Wolverhampton Wanderers,Boubacar Traoré,47137.0
433,Wolverhampton Wanderers,André,136412.0
434,Wolverhampton Wanderers,João Gomes,214627.0
435,Wolverhampton Wanderers,Jørgen Strand Larsen ,226651.0
436,Wolverhampton Wanderers,Matheus Cunha,468919.0
437,Wolverhampton Wanderers,Hwang Hee-chan,280295.0
438,Wolverhampton Wanderers,Emmanuel Agbadou,8164.0
439,Wolverhampton Wanderers,Yerson Mosquera,115788.0
440,Wolverhampton Wanderers,Craig Dawson,139462.0
441,Wolverhampton Wanderers,Saša Kalajdžić,97364.0
442,Wolverhampton Wanderers,Rodrigo Gomes,70610.0
443,Wolverhampton Wanderers,Tommy Doyle,149800.0
444,Wolverhampton Wanderers,Pablo Sarabia,157037.0
445,Wolverhampton Wanderers,Nélson Semedo ,178973.0
446,Wolverhampton Wanderers,Toti Gomes,70833.0
447,Wolverhampton Wanderers,Dan Bentley,55446.0
448,Wolverhampton Wanderers,Carlos Forbs ,125615.0
449,Wolverhampton Wanderers,Jean‐Ricner Bellegarde,15445.0
450,Wolverhampton Wanderers,Gonçalo Guedes,166717.0
451,Wolverhampton Wanderers,Enso González,34633.0
452,Wolverhampton Wanderers,Sam Johnstone,181075.0
453,Wolverhampton Wanderers,Bastien Meupiyou,19991.0
454,Wolverhampton Wanderers,Nasser Djiga,18735.0
455,Wolverhampton Wanderers,Pedro Lima,60603.0
456,Wolverhampton Wanderers,Tom King,39673.0
457,Wolverhampton Wanderers,Nathan Fraser,61332.0
