,Team_df2_x,Player_df2_x,Wikipedia_Link,Pageviews,ID,Player_df1_x,Until,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,Team_df1,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,IG,Player_df1_y,Player_df2_y,Match Score,Team_df2_y,df2_index,df1_index
1021,Detroit Lions,Jamarco Jones,https://en.wikipedia.org/wiki/Jamarco_Jones,8788.0,1271,Jamarco Jones,2024,38,7,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,T,"DET,SEA",0,0,0,0,0,0,0,,Jamarco Jones,Jamarco Jones,100.0,Detroit Lions,780,1270
1189,Detroit Lions,Christian Mahogany,https://en.wikipedia.org/wiki/Christian_Mahogany,31216.0,1481,Christian Mahogany,2024,7,1,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,OL,DET,0,0,0,0,0,0,0,,Christian Mahogany,Christian Mahogany,100.0,Detroit Lions,781,1480
1378,Detroit Lions,Netane Muti,https://en.wikipedia.org/wiki/Netane_Muti,22326.0,1704,Netane Muti,2023,22,4,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,G,"DEN,LVR",0,0,0,0,0,0,0,,Netane Muti,Netane Muti,100.0,Detroit Lions,783,1703
1397,Detroit Lions,Michael Niese,https://en.wikipedia.org/wiki/Michael_Niese,9833.0,1734,Michael Niese,2024,18,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,OL,DET,0,0,0,0,0,0,0,,Michael Niese,Michael Niese,100.0,Detroit Lions,784,1733
1569,Detroit Lions,Frank Ragnow,https://en.wikipedia.org/wiki/Frank_Ragnow,168653.0,1943,Frank Ragnow,2024,96,96,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,1,0,0,0,0,0,0,2,3,0,0,0,,0,-15,0,C,DET,0,0,0,0,0,0,0,,Frank Ragnow,Frank Ragnow,100.0,Detroit Lions,785,1942
1715,Detroit Lions,Penei Sewell,https://en.wikipedia.org/wiki/Penei_Sewell,370366.0,2115,Penei Sewell,2024,67,67,0,0,,0,0,0,,1,,0,0,0,,0,0.0,1,1,9,9.0,0,0.1,0,,0,0,0,0.9,0.0,0,0,0,0,0,0,0,0,1,0,1,0,,0,9,0,T,DET,0,0,0,0,0,2,0,,Penei Sewell,Penei Sewell,100.0,Detroit Lions,786,2114
1746,Detroit Lions,Dan Skipper,https://en.wikipedia.org/wiki/Dan_Skipper,181226.0,2157,Dan Skipper,2024,57,11,0,0,,0,0,0,,0,,0,0,0,,0,0.0,2,2,13,6.5,1,0.2,0,,0,0,6,7.3,0.0,1,1,0,0,0,0,0,0,0,0,0,0,,0,13,0,T,"DET,HOU",0,0,0,0,0,0,0,,Dan Skipper,Dan Skipper,100.0,Detroit Lions,787,2156
1790,Detroit Lions,Colby Sorsdal,https://en.wikipedia.org/wiki/Colby_Sorsdal,17910.0,2218,Colby Sorsdal,2024,17,3,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,OL,DET,0,0,0,0,0,0,0,,Colby Sorsdal,Colby Sorsdal,100.0,Detroit Lions,788,2217
10,Detroit Lions,Myles Adams,https://en.wikipedia.org/wiki/Myles_Adams,13003.0,14,Myles Adams,2024,30,1,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,2.0,12,22,3,5,0,0,1,0,0,0,0,0,,0,0,0,DT,"DET,SEA",0,0,0,0,0,0,0,,Myles Adams,Myles Adams,100.0,Detroit Lions,789,13
426,Detroit Lions,Marcus Davenport,https://en.wikipedia.org/wiki/Marcus_Davenport,78229.0,523,Marcus Davenport,2024,69,36,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,24.0,82,69,27,68,0,0,4,0,1,0,7,0,,0,1,0,RDE,"DET,MIN,NOR",0,0,0,0,0,0,0,,Marcus Davenport,Marcus Davenport,100.0,Detroit Lions,790,522
