,Unnamed: 0,Team_df2_x,Player_df2_x,Wikipedia_Link,Pageviews,ID,Player_df1_x,Until,G,GS,All_Star,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team_df1,MVP,ROY,DPOY,All_NBA,Champ,IG,Player_df1_y,Player_df2_y,Match Score,Team_df2_y,df2_index,df1_index,Team_Pageviews
44,445,Brooklyn Nets,Cam Thomas,https://en.wikipedia.org/wiki/Cam_Thomas_(basketball),206770.0,756,Cam Thomas,2024-25,209,74,0,4813,1096,2486,800,1639,296,847,637,742,62,476,538,412,112,32,293,295,3125,0.441,0.488,0.349,0.858,0.556,0.5,G,BRK,0,0,0,0,0,250975.0,Cam Thomas,Cam Thomas,100.0,Brooklyn Nets,47,755,639148
45,485,Brooklyn Nets,Trendon Watford,https://en.wikipedia.org/wiki/Trendon_Watford,32633.0,813,Trendon Watford,2024-25,186,24,0,3116,522,980,453,784,69,196,250,326,155,512,667,307,85,63,194,370,1363,0.533,0.578,0.352,0.767,0.607,0.568,F,"BRK,POR",0,0,0,0,0,73697.0,Trendon Watford,Trendon Watford,100.0,Brooklyn Nets,48,812,639148
46,317,Brooklyn Nets,Dariq Whitehead,https://en.wikipedia.org/wiki/Dariq_Whitehead,64578.0,533,Dariq Whitehead,2024-25,9,0,0,65,9,23,1,4,8,19,1,2,0,7,7,4,3,2,3,2,27,0.391,0.25,0.421,0.5,0.565,0.565,F,BRK,0,0,0,0,0,84967.0,Dariq Whitehead,Dariq Whitehead,100.0,Brooklyn Nets,49,532,639148
47,505,Brooklyn Nets,Ziaire Williams,https://en.wikipedia.org/wiki/Ziaire_Williams,146005.0,844,Ziaire Williams,2024-25,181,66,0,3649,525,1242,327,595,198,647,180,223,110,423,533,220,116,39,178,335,1428,0.423,0.55,0.306,0.807,0.533,0.502,F,"BRK,MEM",0,0,0,0,0,141187.0,Ziaire Williams,Ziaire Williams,100.0,Brooklyn Nets,50,843,639148
48,425,Brooklyn Nets,Jalen Wilson,https://en.wikipedia.org/wiki/Jalen_Wilson,65189.0,717,Jalen Slawson,2023-24,12,0,0,37,4,6,4,4,0,2,0,0,1,6,7,2,1,1,2,8,8,0.667,1.0,0.0,,0.667,0.667,F,SAC,0,0,0,0,0,0.0,Jalen Slawson,Jalen Wilson,80.0,Brooklyn Nets,51,716,639148
49,18,Charlotte Hornets,LaMelo Ball,https://en.wikipedia.org/wiki/LaMelo_Ball,1132946.0,30,LaMelo Ball,2024-25,211,191,1,6791,1586,3724,945,1970,641,1754,658,788,268,1022,1290,1567,324,72,708,667,4471,0.426,0.48,0.365,0.835,0.549,0.512,G,CHO,0,1,0,0,0,10385889.0,LaMelo Ball,LaMelo Ball,100.0,Charlotte Hornets,52,29,757776
50,52,Charlotte Hornets,Miles Bridges,https://en.wikipedia.org/wiki/Miles_Bridges,300167.0,87,Miles Bridges,2024-25,385,280,0,11828,2190,4695,1548,2824,642,1871,780,951,419,1916,2335,978,296,263,588,739,5802,0.466,0.548,0.343,0.82,0.567,0.535,G-F,CHO,0,0,0,0,0,597350.0,Miles Bridges,Miles Bridges,100.0,Charlotte Hornets,54,86,757776
51,102,Charlotte Hornets,Seth Curry,https://en.wikipedia.org/wiki/Seth_Curry,765713.0,179,Seth Curry,2024-25,514,218,0,11750,1908,4051,1017,1982,891,2069,497,575,163,893,1056,991,346,71,508,789,5204,0.471,0.513,0.431,0.864,0.605,0.581,G,"BRK,CHO,CLE,DAL,MEM,PHI,PHO,POR,SAC",0,0,0,0,0,2014602.0,Seth Curry,Seth Curry,100.0,Charlotte Hornets,55,178,757776
52,111,Charlotte Hornets,Moussa Diabaté,https://en.wikipedia.org/wiki/Moussa_Diabat%C3%A9,60595.0,195,Moussa Diabaté,2024-25,64,5,0,811,81,144,80,142,1,2,30,55,138,144,282,27,32,31,38,70,193,0.563,0.563,0.5,0.545,0.574,0.566,F,"CHO,LAC",0,0,0,0,0,0.0,Moussa Diabaté,Moussa Diabaté,100.0,Charlotte Hornets,56,194,757776
53,142,Charlotte Hornets,Malachi Flynn,https://en.wikipedia.org/wiki/Malachi_Flynn,214185.0,245,Malachi Flynn,2023-24,213,21,0,3032,422,1090,235,530,187,560,137,184,56,313,369,407,117,23,144,244,1168,0.387,0.443,0.334,0.745,0.499,0.473,G,"CHO,DET,NYK,TOR",0,0,0,0,0,0.0,Malachi Flynn,Malachi Flynn,100.0,Charlotte Hornets,57,244,757776
