Unnamed: 0,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled,obscurity_score,obscurity_score_normalized,obscurity_score_scaled
54,Arizona Cardinals,12650.0,60,0,0,1,0.0,0,0,0,39.6,0,0.0,0,1,10,10.0,0,0.2,0,0,0,0.0,0,0.0,0,0.0,0,0,0,1.0,0.0,3,1,0,0,0,0,0,0,0,0,0,11994,48.2,0,10,0,P,0,0,0,0,0,0,0,Blake Gillikin,99.45753007751446,159.57740005806903,42.39,58.16606112104737,21.2
55,Arizona Cardinals,64524.0,30,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,44,77.2,0,0,182,194.0,0.0,0,0,0,0,0,0,0,0,0,0,0,117,39.0,0,0,0,K,0,0,0,0,0,0,0,Chad Ryland,98.84427096939156,149.55859084696607,57.44,60.620626416822056,28.72
56,Arizona Cardinals,16648.0,68,30,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,5.0,178,102,15,6,1,0,10,0,2,0,1,0,0.0,0,47,0,LB,0,0,0,0,0,0,0,Krys Barnes,99.3655806649236,158.03578965783433,50.89,59.87918788458671,25.44
57,Arizona Cardinals,14786.0,13,2,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,OL,0,0,0,0,0,0,0,Jackson Barton,99.43526851402405,159.20286442081164,69.11,61.27437187532336,34.56
58,Arizona Cardinals,45303.0,179,161,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,RT,0,0,0,0,0,0,0,Kelvin Beachum,98.81040468336708,149.02301661161587,35.41,38.23186687941325,17.7
59,Arizona Cardinals,19141.0,74,57,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,RG,0,0,0,0,0,0,0,Evan Brown,99.27759629171592,156.5738687565497,50.27,59.79851372801593,25.14
60,Arizona Cardinals,23810.0,63,32,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,6.5,39,32,10,19,0,0,7,0,1,0,0,0,0.0,0,0,0,DL,0,0,0,0,0,0,0,L.J. Collier,99.26294519948976,156.33167760610138,55.15,60.36361911356178,27.58
61,Arizona Cardinals,6069.0,55,8,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,4.0,42,25,7,16,0,0,1,0,0,0,2,0,0.0,0,0,0,OLB,0,0,0,0,0,0,0,Victor Dimukeje,99.53494047553689,160.8862869815749,51.12,59.90598320670215,25.56
62,Arizona Cardinals,18036.0,96,17,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,17.0,117,39,23,35,2,0,7,0,4,0,3,0,0.0,0,36,0,LB,0,0,0,0,0,0,0,Dennis Gardeck,99.34850196724229,157.7510083823131,46.69,59.385218089947664,23.34
63,Arizona Cardinals,39204.0,97,91,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,LG,0,0,0,0,0,0,0,Will Hernandez,98.97318662235004,151.61398597038382,48.95,59.66869204654361,24.48
