Unnamed: 0,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled,oline_carrer_value,obscurity_score,obscurity_score_normalized,obscurity_score_scaled
526,Cleveland Browns,10866.0,62,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,35,17,1,0,0,0,1,0,2,0,2,0,0.0,0,0,0,LB,0,0,0,0,0,0,0,Andre Smith,99.46274193999665,159.66520661052056,0,53.92,59.189749058129344,26.96
527,Cleveland Browns,21807.0,43,15,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,T,0,0,0,0,0,0,0,Hakeem Adeniji,99.31682637720183,157.2241148879407,0,56.42,59.51393793955706,28.21
528,Cleveland Browns,20224.0,107,36,0,0,0.0,0,0,0,0.0,0,0.0,0,2,7,3.5,0,0.1,297,206,2277,11.1,10,21.3,0,0.0,1,0,62,284.4,0.0,1,0,0,0,0,0,0,4,2,0,0,0,0.0,0,2282,0,TE,0,0,0,0,0,0,0,Jordan Akins,98.96297233066076,151.45016386470542,0,43.31,56.23893258056,21.66
529,Cleveland Browns,16737.0,67,5,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1.0,56,24,4,1,1,0,7,0,0,0,4,0,0.0,0,34,0,DB,0,0,0,0,0,0,0,Tony Brown,99.40158762561872,158.6377890695107,0,54.75,59.31540164255279,27.38
530,Cleveland Browns,125727.0,81,61,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,0.0,5.0,236,163,26,11,2,0,16,0,5,1,2,0,0.0,0,25,0,RILB,0,0,0,0,0,0,0,Devin Bush Jr.,97.91752521131777,135.5375815681898,0,42.31,55.8260504082934,21.16
531,Cleveland Browns,16280.0,63,25,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0.0,0,0,0,T,0,0,0,0,0,0,1,Geron Christian,99.31443580195248,157.18441761953954,0,31.2,25.118724875941922,15.6
532,Cleveland Browns,321497.0,85,78,0,0,0.0,0,0,0,0.0,0,0.0,0,1340,6843,5.1,51,80.5,173,128,1042,8.1,5,12.3,0,0.0,1,0,338,1112.5,0.0,2,3,0,0,0,0,0,8,1,0,0,0,0.0,0,7885,0,RB,0,0,0,0,0,0,0,Nick Chubb,94.69314643183962,95.74074978583911,0,34.82,38.95375702989116,17.41
533,Cleveland Browns,12561.0,72,35,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,20.5,88,81,22,47,0,0,5,0,0,0,6,0,0.0,0,0,0,DE,0,0,0,0,0,0,2,Michael Danna,99.36934560110204,158.0986340980473,0,30.7,24.88088436011295,15.35
534,Cleveland Browns,14962.0,94,10,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,90,21,2,1,1,0,6,0,1,0,0,0,0.0,0,10,0,CB,0,0,0,0,0,0,0,Mike Ford,99.39974646773844,158.60695418683784,0,51.69,58.73320791172859,25.84
535,Cleveland Browns,91398.0,63,24,0,0,0.0,0,0,0,0.0,0,0.0,0,623,2558,4.1,14,40.6,55,40,396,9.9,3,6.3,0,0.0,1,0,104,393.4,0.0,0,0,0,0,0,0,0,9,2,0,0,0,0.0,0,3085,128,RB,0,0,0,0,0,0,0,D'Onta Foreman,97.973393027887,136.34651848356663,0,37.91,50.78068402073772,18.95
